iter	Passed	Remaining
0	134	134267
1	134	67343
2	135	45025
3	135	33861
4	136	27171
5	136	22687
6	137	19510
7	138	17115
8	138	15255
9	139	13766
10	139	12544
11	140	11539
12	140	10669
13	140	9922
14	141	9275
15	141	8712
16	142	8229
17	142	7788
18	143	7398
19	143	7043
20	144	6723
21	144	6434
22	145	6167
23	145	5922
24	146	5698
25	146	5496
26	147	5305
27	147	5128
28	148	4962
29	148	4807
30	149	4661
31	149	4526
32	150	4400
33	150	4280
34	151	4169
35	151	4062
36	152	3961
37	152	3865
38	153	3774
39	153	3689
40	154	3607
41	154	3530
42	155	3455
43	155	3385
44	156	3316
45	156	3252
46	157	3189
47	157	3132
48	158	3076
49	159	3021
50	159	2970
51	160	2923
52	161	2879
53	161	2837
54	162	2794
55	163	2751
56	163	2710
57	164	2669
58	164	2629
59	165	2592
60	165	2554
61	166	2518
62	167	2485
63	167	2453
64	168	2421
65	168	2390
66	169	2360
67	170	2332
68	171	2313
69	172	2285
70	172	2258
71	173	2232
72	173	2205
73	174	2180
74	174	2155
75	175	2130
76	175	2106
77	176	2083
78	176	2061
79	177	2039
80	177	2017
81	178	1996
82	178	1972
83	179	1952
84	179	1932
85	180	1913
86	180	1894
87	181	1876
88	181	1859
89	182	1841
90	182	1824
91	183	1807
92	183	1791
93	184	1775
94	184	1760
95	185	1744
96	185	1729
97	186	1715
98	186	1700
99	187	1686
100	187	1672
101	188	1659
102	189	1645
103	189	1633
104	190	1621
105	190	1607
106	191	1596
107	191	1583
108	192	1571
109	192	1560
110	193	1549
111	193	1537
112	194	1526
113	195	1515
114	195	1505
115	196	1494
116	196	1483
117	197	1473
118	197	1462
119	198	1452
120	198	1443
121	199	1433
122	199	1423
123	200	1413
124	200	1403
125	201	1394
126	201	1384
127	201	1375
128	202	1366
129	202	1357
130	203	1348
131	203	1340
132	204	1332
133	204	1324
134	205	1316
135	205	1308
136	206	1300
137	206	1292
138	207	1284
139	207	1276
140	208	1269
141	208	1261
142	209	1254
143	209	1248
144	210	1241
145	211	1234
146	211	1227
147	212	1220
148	212	1213
149	212	1206
150	213	1200
151	214	1193
152	214	1187
153	215	1181
154	215	1174
155	216	1168
156	216	1162
157	217	1156
158	217	1150
159	218	1144
160	218	1138
161	218	1132
162	219	1127
163	220	1121
164	220	1116
165	221	1111
166	221	1105
167	222	1100
168	222	1094
169	223	1089
170	223	1085
171	224	1079
172	224	1074
173	225	1069
174	225	1064
175	226	1059
176	226	1054
177	227	1050
178	227	1045
179	228	1041
180	229	1036
181	229	1031
182	230	1027
183	230	1022
184	231	1018
185	231	1013
186	232	1009
187	232	1004
188	233	1000
189	233	996
190	234	991
191	234	987
192	235	983
193	235	979
194	236	975
195	236	971
196	237	967
197	237	963
198	238	959
199	238	955
200	239	951
201	239	948
202	240	944
203	241	940
204	241	936
205	242	932
206	242	929
207	243	926
208	243	922
209	244	919
210	244	915
211	245	912
212	245	908
213	246	905
214	246	901
215	247	897
216	247	894
217	248	891
218	248	887
219	249	884
220	250	881
221	250	877
222	250	874
223	251	871
224	251	867
225	252	865
226	253	862
227	253	859
228	254	856
229	254	853
230	255	850
231	255	847
232	256	844
